key,file,ref,bg,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,pct0,pct1,pct2,pct3,pct4,pct5,pct6,pct7,pct8,pct9,pct10,pct11,pct12,pct13,pct14,pct15
monet_sunrise,impressionism.js,"Impression, Sunrise (1872)",,,,,,,,,,,,,,,#F08D7C,#DFA086,,,,,,,,,,,,,,,,,
kahlo_thorn,surrealism.js,Self-Portrait with Thorn Necklace and Hummingbird (1940),,,,,,,,,,,,,,,,,#503948,,,,,,,,,,,,,,,,
pissarro_boulevard,impressionism.js,Boulevard Montmartre at Night (1897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monet_waterlilies,impressionism.js,Water Lilies (Large Composition) (1906),,,,,,,,,,,,,,,,,#986BA0,,,,,,,,,,,,,,,,
polke_watchtower,contemporary.js,Watchtower (1984),,,,,,,,,,,,,,#3F2F4F,#804230,#A08D4A,,,,,,,,,,,,,,,,,
klimt_gold,surrealism.js,The Kiss (1907–1908),,,,,,,,,,,,,,#C45D32,,,#6D5DB2,,,,,,,,,,,,,,,,
klimt_adele,surrealism.js,Portrait of Adele Bloch-Bauer I (1907),,,,,,,,,,,,,,#C45D32,,,,,,,,,,,,,,,,,,,
dechirico_muses,surrealism.js,The Disquieting Muses (1916),,,,,,#D4724A,,,,,,,,,,,,,,,,,,,,,,,,,,
